branch,college_tier,cgpa,internships,projects_count,certifications,salary_package_lpa,skill,placed_3m,placed_6m,placed_12m,industry_demand
3,1,6.7,1,4,4,14.75,5,1,1,1,2
3,2,7.19,1,3,2,19.06,6,1,1,1,2
4,2,6.71,1,2,0,13.42,4,1,1,1,5
4,1,6.21,2,3,3,16.47,6,1,1,1,5
4,1,7.91,2,5,2,16.51,5,1,1,1,5
2,2,7.03,1,3,0,13.49,5,1,1,1,3
3,2,7.34,1,2,1,17.95,6,1,1,1,2
4,3,7.12,0,1,2,19.63,6,1,1,1,5
1,1,6.04,1,3,1,20.38,7,1,1,1,3
4,2,7.16,3,3,0,21.08,6,1,1,1,5
4,2,6.14,3,2,1,20.26,6,1,1,1,5
4,2,7.67,0,2,0,15.68,6,1,1,1,5
3,2,6.16,0,4,0,13.91,5,1,1,1,2
2,2,6.82,1,3,3,14.58,5,1,1,1,3
3,2,8.68,1,2,1,17.51,6,1,1,1,2
2,1,6.95,2,4,2,19.51,5,1,1,1,3
3,1,6.18,1,2,2,15.89,6,1,1,1,2
4,2,8.48,1,1,2,19.6,5,1,1,1,5
4,3,8.83,1,2,0,22.55,6,1,1,1,5
2,2,8.69,2,3,4,20.76,5,1,1,1,3
4,2,9.06,2,1,1,20.47,6,1,1,1,5
4,2,7.97,1,3,1,18.6,5,1,1,1,5
1,1,8.39,0,2,2,14.66,5,1,1,1,3
4,3,8.24,0,3,2,19.6,6,1,1,1,5
3,3,7.6,1,3,1,20.2,6,1,1,1,2
4,1,7.95,3,3,1,17.96,6,1,1,1,5
3,1,7.9,1,1,3,13.65,5,1,1,1,2
4,2,7.49,2,2,1,18.94,6,1,1,1,5
2,2,7.67,0,2,3,14.66,5,1,1,1,3
4,1,6.73,0,3,1,14.71,6,1,1,1,5
1,1,8.12,0,2,0,14.38,5,1,1,1,3
3,2,9.06,0,3,1,17.67,5,1,1,1,2
3,2,8.39,1,3,1,14.14,5,1,1,1,2
3,2,6.47,3,2,2,19.34,6,1,1,1,2
4,3,7.25,0,5,1,18.91,6,1,1,1,5
1,3,7.21,3,5,1,21.96,6,1,1,1,3
1,3,6.75,3,3,2,22.16,5,1,1,1,3
4,1,6.36,1,1,1,14.88,5,1,1,1,5
1,1,8.7,1,2,4,16.86,5,1,1,1,3
4,1,8.32,1,3,3,18.55,5,1,1,1,5
4,1,7.47,0,1,1,13.98,5,1,1,1,5
4,3,6.83,0,2,0,18.48,7,1,1,1,5
3,3,7.98,1,1,4,18.86,6,1,1,1,2
3,1,7.93,2,1,1,15.92,5,1,1,1,2
3,2,8.51,1,1,0,14.91,5,1,1,1,2
4,3,8.85,3,0,1,22.69,6,1,1,1,5
3,2,8.61,1,1,2,19.26,7,1,1,1,2
3,1,7.8,3,0,4,19.59,6,1,1,1,2
2,2,7.75,1,2,2,17.25,6,1,1,1,3
4,1,8.38,0,2,3,14.53,4,1,1,1,5
4,1,7.62,1,2,2,17.44,5,1,1,1,5
1,3,6.94,1,1,2,20.61,6,1,1,1,3
4,2,8.03,1,4,0,17.78,5,1,1,1,5
4,1,5.99,3,4,1,20.12,6,1,1,1,5
4,3,6.59,3,1,1,19.93,6,1,1,1,5
3,3,8.62,1,2,1,22.56,6,1,1,1,2
3,2,7.73,1,3,1,17.59,6,1,1,1,2
4,1,7.55,1,3,2,15.61,6,1,1,1,5
3,1,6.69,1,0,2,14.19,6,1,1,1,2
4,1,7.5,0,2,3,15.17,5,1,1,1,5
4,2,7.46,1,1,1,20.86,7,1,1,1,5
3,1,7.2,1,2,0,14.25,5,1,1,1,2
3,2,7.69,0,2,3,16.66,5,1,1,1,2
4,3,7.51,0,0,2,19.07,6,1,1,1,5
3,2,7.05,0,3,1,19.06,6,1,1,1,2
3,1,7.4,2,2,3,16.8,5,1,1,1,2
4,1,7.47,2,1,1,16.58,6,1,1,1,5
2,2,7.94,3,4,0,21.4,6,1,1,1,3
4,3,9.51,3,2,1,26.47,7,1,1,1,5
3,1,7.69,0,1,0,15.21,5,1,1,1,2
4,2,8.36,1,2,0,17.85,5,1,1,1,5
2,1,6.62,3,3,2,16.14,5,1,1,1,3
2,1,7.8,0,4,1,15.8,5,1,1,1,3
2,1,7.44,1,1,2,15.69,5,1,1,1,3
4,2,8.52,1,4,4,18.3,5,1,1,1,5
4,3,8.15,2,1,0,22.43,5,1,1,1,5
2,2,7.28,2,2,1,18.39,5,1,1,1,3
1,1,5.99,1,3,1,15.13,5,1,1,1,3
2,3,8.6,3,2,3,21.62,6,1,1,1,3
4,3,8.37,3,2,2,25.19,6,1,1,1,5
4,1,6.97,2,2,3,15.32,4,1,1,1,5
3,3,7.02,1,2,1,23.4,7,1,1,1,2
4,2,6.42,1,2,0,17.94,5,1,1,1,5
1,2,7.89,1,0,0,18.79,5,1,1,1,3
4,1,7.23,2,2,1,17.07,6,1,1,1,5
4,2,8.96,0,5,1,16.51,5,1,1,1,5
4,1,5.67,2,2,2,17.55,6,1,1,1,5
4,2,9.84,2,1,0,20.83,5,1,1,1,5
4,1,6.94,0,3,0,15.28,7,1,1,1,5
3,2,7.53,1,3,2,15.63,5,1,1,1,2
4,1,6.34,2,1,3,17.53,6,1,1,1,5
2,2,6.71,1,4,1,14.78,6,1,1,1,3
4,2,6.63,0,1,0,17.01,6,1,1,1,5
4,2,5.84,0,4,2,15.8,5,1,1,1,5
4,1,7.93,1,3,1,12.99,5,1,1,1,5
2,1,6.39,0,4,2,13.82,5,1,1,1,3
4,1,8.35,0,4,0,14.86,5,1,1,1,5
3,2,8.7,0,1,4,19.03,5,1,1,1,2
2,2,7.76,1,2,1,14.07,5,1,1,1,3
3,1,7.31,1,4,0,16.85,5,1,1,1,2
1,1,7.46,2,4,1,16.28,6,1,1,1,3
3,2,7.78,0,1,1,15.51,5,1,1,1,2
3,2,6.98,0,2,1,17.7,7,1,1,1,2
3,1,7.8,2,2,1,21.08,6,1,1,1,2
4,1,6.64,3,2,3,16.9,5,1,1,1,5
2,1,7.12,1,1,2,17.31,6,1,1,1,3
4,3,6.08,0,2,1,18.37,6,1,1,1,5
